PlayerName,TeamAbbr,JerseyNumber,Position,persistence,persistence_steps,last_digit_of_persistence_list
Amari Williams,BOS,77,Forward-Center,4,"[77, 49, 36, 18, 8]",8
VJ Edgecombe,PHI,77,Guard,4,"[77, 49, 36, 18, 8]",8
Jamison Battle,TOR,77,Forward,4,"[77, 49, 36, 18, 8]",8
Luka Dončić,LAL,77,Forward-Guard,4,"[77, 49, 36, 18, 8]",8
Ben Saraf,BKN,77,Guard,4,"[77, 49, 36, 18, 8]",8
Duncan Robinson,DET,55,Forward,3,"[55, 25, 10, 0]",0
Harrison Ingram,SAS,55,Forward,3,"[55, 25, 10, 0]",0
Kevon Looney,NOP,55,Forward,3,"[55, 25, 10, 0]",0
Ethan Thompson,IND,55,Guard,3,"[55, 25, 10, 0]",0
Neemias Queta,BOS,88,Center,3,"[88, 64, 24, 8]",8
Baylor Scheierman,BOS,55,Guard,3,"[55, 25, 10, 0]",0
Noah Penda,ORL,93,Guard-Forward,3,"[93, 27, 14, 4]",4
Ariel Hukporti,NYK,55,Center,3,"[55, 25, 10, 0]",0
Nolan Traore,BKN,88,Guard,3,"[88, 64, 24, 8]",8
Alijah Martin,TOR,55,Guard,3,"[55, 25, 10, 0]",0
Isaiah Hartenstein,OKC,55,Center-Forward,3,"[55, 25, 10, 0]",0
Lachlan Olbrich,CHI,47,Center,3,"[47, 28, 16, 6]",6
Ben Sheppard,IND,26,Guard,2,"[26, 12, 2]",2
Quenton Jackson,IND,29,Guard,2,"[29, 18, 8]",8
Jeremiah Robinson-Earl,IND,25,Forward,2,"[25, 10, 0]",0
Alperen Sengun,HOU,28,Center,2,"[28, 16, 6]",6
Daeqwon Plowden,SAC,29,Guard-Forward,2,"[29, 18, 8]",8
Pascal Siakam,IND,43,Forward,2,"[43, 12, 2]",2
Marvin Bagley III,WAS,35,Forward,2,"[35, 15, 5]",5
Tolu Smith,DET,35,Forward,2,"[35, 15, 5]",5
Bobi Klintman,DET,34,Forward,2,"[34, 12, 2]",2
Isaiah Stewart,DET,28,Forward-Center,2,"[28, 16, 6]",6
Marcus Sasser,DET,25,Guard,2,"[25, 10, 0]",0
Robert Williams III,POR,35,Center-Forward,2,"[35, 15, 5]",5
Riley Minix,SAS,27,Forward,2,"[27, 14, 4]",4
Lindy Waters III,SAS,43,Forward,2,"[43, 12, 2]",2
Jamal Murray,DEN,27,Guard,2,"[27, 14, 4]",4
Nikola Topić,OKC,44,Guard,2,"[44, 16, 6]",6
Sandro Mamukelashvili,TOR,54,Forward-Center,2,"[54, 20, 0]",0
P.J. Washington,DAL,25,Forward,2,"[25, 10, 0]",0
Ajay Mitchell,OKC,25,Guard,2,"[25, 10, 0]",0
Patrick Williams,CHI,44,Forward,2,"[44, 16, 6]",6
David Jones Garcia,SAS,25,Forward,2,"[25, 10, 0]",0
Marcus Smart,LAL,36,Guard,2,"[36, 18, 8]",8
Nae'Qwan Tomlin,CLE,35,Forward,2,"[35, 15, 5]",5
